832
YGR138C| -0.81 -0.42
YPR156C| 1.16 -0.35
YOR230W| 0.13 -0.51
YAL018C| -0.76 0.79
YBR287W| -0.83 0.07
YCL075W| 0.87 1.74
YDR055w| 0.26 -0.2
YOR358W| 0.77 -1.53
YBR006W| -0.01 -0.72
YBR241C| -0.08 -0.08
YCR021c| 0.04 -1.52
YCR061W| 1.59 0.33
YDL024c| 0.57 1.46
YDR298C| 1.38 1.29
YER141w| -0.6 1.45
YER158c| 0.6 -1.54
YGR028W| -0.37 1.44
YGR149W| 0.09 0.2
YIR038C| -0.94 -1.16
YJL155C| -0.14 -0.14
YLR297W| -0.14 -0.36
YLR423C| 1.59 -1.44
YOL083W| 1.68 -0.54
YOR049C| 1.3 -0.02
YPL087W| 0.16 -1.19
YBR052C| 0.41 1.77
YBR054W| -1.46 -1.36
YBR056W| -1.2 -0.06
YBR183W| 0.05 0.05
YCL040w| -1.15 -0.04
YCL042W| -0.45 0.04
YDL021W| 0.52 1.39
YDR032c| 0.22 1.76
YDR342C| 1.53 0.62
YDR343C| 0.53 -1.7
YER053c| 0.98 0.22
YER150w| -0.35 -0.07
YGR194C| 0.06 -0.4
YGR244C| 0.42 -1.35
YHR092C| -0.25 -1.62
YIL111W| -1.21 0.05
YIR039C| 1.29 -1.13
YJL079C| 0.71 0.71
YJL164C| -1.19 -0.34
YJR073C| -1.2 -1.2
YKL035W| 2.14 -0.27
YMR250W| 1.21 -1.5
YMR297W| -1.81 -0.81
YNL160W| 0.19 1.26
YOR136W| 0.19 -1.4
YOR273C| -0.07 -1.26
YOR347C| 0.03 -1.77
Ydr021w| -1.02 1.52
YPL154C| -1.79 0.6
YBL078C| -0.41 -1.03
YBR072W| 1.2 -0.77
YBR139W| -0.24 -0.81
YBR149W| 1.17 1.17
YBR169C| -1 1.32
YBR204C| 1.38 -1.27
YDL022w| 1.66 0.19
YDL023c| 0.15 0.3
YDL091c| -0.52 -0.13
YDR001C| -0.01 1.6
YDR077W| -0.95 1.62
YDR171W| -0.28 -0.35
YDR178W| 1.45 1.45
YDR231C| -1.06 -1.02
YDR513W| -0.9 -0.9
YDR529C| -0.19 1.29
YEL024w| -1.17 -0.16
YFL014W| 0.42 0.42
YFR015C| 0.32 -0.14
YFR033C| -0.46 -0.46
YGL006W| 0.17 0.17
YGL187C| -0.43 -0.58
YGL191W| 0.06 0.06
YGR008C| -0.01 1.74
YGR019W| 1.46 1.56
YGR088W| -0.21 -0.81
YGR174C| -0.22 -0.93
YHL021C| -0.38 -1.34
YIL087C| 1.33 -0.21
YIL107C| -1.01 1.48
YKL085W| 1.58 -0.79
YKL103C| 0.39 -0.16
YKL148C| -0.67 -0.82
YKL150W| 1 1
YKR016W| -0.33 -0.98
YKR067W| -0.24 -1.15
YLL026w| -1.07 0.03
YLL041c| -1.15 1.41
YLR178C| -0.88 -0.88
YLR258W| 1.61 -0.97
YLR294C| -0.66 -0.64
YLR299W| -0.96 0.31
YLR304C| -0.74 -0.81
YLR327C| -0.13 1.73
YLR345W| 1.48 -0.12
YLR395C| 0.32 -1.1
YML100W| 1.51 1.51
YML120C| -0.02 -0.75
YML128C| 1.19 -0.46
YMR105C| -1.3 -0.74
YMR110C| -0.05 -0.67
YMR133W| -1.41 0.16
YMR196W| 0.95 1.65
YNL015W| -0.1 1.12
YNL055C| -0.86 -0.86
YNL100W| 1.32 -1.1
YNL144C| -0.97 1.46
YOL048C| -0.36 -0.8
YOL053C| 1 1
YOR215C| -0.21 -0.66
YOR317W| -0.61 -1.31
YOR374W| 0.17 1.42
YPL078C| 0.75 1.45
YPL230W| 1.52 -0.77
YPR149W| -0.98 1.64
YDR258C| -0.23 -1.02
YAL060W| -0.63 -0.78
YBL038W| 1.15 1.83
YBL064C| -1.04 -1.04
YBR269C| 1.84 1.12
YCL035C| -0.63 -0.69
YDL004W| -0.88 -1.01
YDR031w| -0.78 -0.47
YDR074W| -1.06 -1.06
YDR272W| -0.92 -0.3
YDR277C| -0.39 -1.23
YDR516C| 0.02 -0.08
YEL039c| 1.89 1.89
YER035w| -0.74 -0.74
YER067w| -1.04 -0.34
YER182w| -0.81 -0.59
YFR053C| -0.63 -0.91
YGL037C| 0.33 -0.88
YGL121C| 1.79 -0.65
YGL199C| -0.44 -1.02
