NAMES	col1  	col2	col3	col4	col5	col6	col7
YGR138C	-1.23	-0.81	1.79	0.78	-0.42	-0.69	0.58
YPR156C	-1.76	-0.94	1.16	0.36	0.41	-0.35	1.12
YOR230W	-2.19	0.13	0.65	-0.51	0.52	1.04	0.36
YAL018C	-1.22	-0.98	0.79	-0.76	-0.29	1.54	0.93
YBR287W	-1.47	-0.83	0.85	0.07	-0.81	1.53	0.65
YCL075W	-1.04	-1.11	0.87	-0.14	-0.80	1.74	0.48
YDR055w	-1.57	-1.17	1.29	0.23	-0.20	1.17	0.26
YOR358W	-1.53	-1.25	0.59	-0.30	0.32	1.41	0.77
YBR006W	-1.76	-0.72	0.13	-0.01	-0.23	1.30	1.28
YBR241C	-1.39	-0.42	-0.08	-0.29	-0.65	1.85	0.98
YCR021c	-1.52	-0.99	0.26	0.04	-0.42	1.43	1.19
YCR061W	-1.57	-0.39	0.33	-0.54	-0.51	1.59	1.09
YDL024c	-1.27	-1.14	0.57	-0.30	-0.47	1.46	1.14
YDR298C	-1.49	-0.87	0.41	-0.47	-0.25	1.38	1.29
YER141w	-1.69	-0.60	0.00	0.41	-0.62	1.45	1.05
YER158c	-1.54	-1.15	0.28	-0.05	0.16	0.60	1.69
YGR028W	-1.69	-0.59	-0.05	-0.37	0.00	1.44	1.26
YGR149W	-1.35	-1.18	0.20	0.09	-0.41	1.21	1.45
YIR038C	-1.16	-0.94	-0.04	-0.28	-0.51	1.74	1.19
YJL155C	-1.37	-0.77	-0.14	-0.48	-0.15	1.53	1.38
YLR297W	-1.74	-0.14	-0.20	-0.25	-0.36	1.59	1.09
YLR423C	-1.44	-0.90	0.04	-0.55	0.16	1.59	1.11
YOL083W	-1.30	-0.84	-0.29	-0.54	0.12	1.18	1.68
YOR049C	-1.17	-1.23	-0.02	-0.45	0.06	1.50	1.30
YPL087W	-1.36	-1.19	0.16	0.02	-0.30	1.43	1.25
YBR052C	-1.53	-0.93	-0.06	0.41	-0.27	1.77	0.62
YBR054W	-1.46	-1.36	0.09	0.34	0.05	1.44	0.91
YBR056W	-1.47	-1.20	-0.06	0.48	-0.21	1.42	1.04
YBR183W	-1.20	-1.23	-0.41	0.28	0.05	1.84	0.67
YCL040w	-1.63	-1.15	-0.01	-0.04	1.13	1.23	0.48
YCL042W	-1.26	-0.93	-0.45	-0.32	1.52	1.39	0.04
YDL021W	-1.49	-1.25	-0.31	0.23	0.52	1.39	0.92
YDR032c	-1.52	-1.16	0.04	0.22	0.30	1.76	0.34
YDR342C	-1.52	-1.16	-0.41	0.42	0.62	1.53	0.53
YDR343C	-1.70	-0.91	-0.27	0.53	0.01	0.86	1.48
YER053c	-1.64	-1.03	-0.30	0.22	0.36	0.98	1.42
YER150w	-1.28	-1.12	-0.35	-0.07	0.01	1.47	1.35
YGR194C	-1.54	-0.83	-0.40	0.06	-0.01	1.54	1.18
YGR244C	-1.35	-1.06	-0.45	-0.23	0.42	1.53	1.14
YHR092C	-1.62	-1.01	-0.25	0.58	0.56	1.62	0.12
YIL111W	-1.21	-0.97	-0.40	0.05	0.43	2.06	0.04
YIR039C	-1.13	-1.48	-0.09	0.30	-0.21	1.29	1.32
YJL079C	-1.95	-0.82	0.28	-0.05	0.71	1.30	0.52
YJL164C	-1.19	-1.28	-0.34	0.73	-0.34	1.57	0.85
YJR073C	-1.39	-1.20	-0.33	0.01	0.42	1.58	0.91
YKL035W	-1.27	-0.74	-0.27	0.31	-0.27	2.14	0.09
YMR250W	-1.50	-1.03	-0.54	0.14	0.41	1.21	1.32
YMR297W	-1.81	-0.81	-0.17	0.05	0.38	0.94	1.42
YNL160W	-1.27	-1.17	-0.42	-0.07	0.19	1.49	1.26
YOR136W	-1.40	-0.87	-0.32	-0.39	0.19	1.63	1.16
YOR273C	-1.26	-1.13	-0.47	0.13	-0.07	1.31	1.48
YOR347C	-1.77	-0.76	-0.29	0.03	0.50	1.53	0.76
Ydr021w	-1.35	-1.02	-0.52	-0.29	0.63	1.52	1.03
YPL154C	-1.79	-1.02	0.05	0.14	0.60	1.41	0.60
YBL078C	-1.03	-0.80	-0.51	-0.41	-0.33	1.63	1.45
YBR072W	-1.11	-0.77	-0.81	-0.30	0.06	1.73	1.20
YBR139W	-1.19	-0.72	-0.81	0.03	-0.24	1.22	1.69
YBR149W	-0.99	-0.72	-0.85	-0.49	0.09	1.78	1.17
YBR169C	-1.00	-0.96	-0.84	-0.15	0.02	1.61	1.32
YBR204C	-1.11	-1.27	-0.57	0.07	0.12	1.38	1.38
YDL022w	-0.95	-1.10	-0.96	0.19	0.10	1.66	1.07
YDL023c	-0.93	-0.88	-1.30	0.15	0.30	1.35	1.32
YDL091c	-0.90	-0.80	-0.71	-0.52	-0.13	1.69	1.38
YDR001C	-0.99	-1.11	-0.56	-0.01	-0.28	1.60	1.35
YDR077W	-1.23	-0.95	-0.88	-0.07	0.60	1.62	0.90
YDR171W	-0.91	-0.87	-0.66	-0.35	-0.28	1.65	1.43
YDR178W	-1.17	-1.02	-0.42	-0.15	-0.19	1.45	1.50
YDR231C	-1.02	-1.06	-0.54	-0.34	-0.03	1.54	1.43
YDR513W	-0.90	-0.90	-0.64	-0.60	0.02	1.73	1.28
YDR529C	-0.90	-1.06	-0.67	-0.16	-0.19	1.29	1.70
YEL024w	-1.17	-0.94	-0.57	-0.16	-0.08	1.21	1.71
YFL014W	-1.33	-0.94	-0.77	-0.06	0.42	1.40	1.27
