NAMES	col1  	col2	col3	col4	col5	col6	col7
YGR149W	-1.35	-1.18	0.20	0.09	-0.41	1.21	1.45
YIR038C	-1.16	-0.94	-0.04	-0.28	-0.51	1.74	1.19
YJL155C	-1.37	-0.77	-0.14	-0.48	-0.15	1.53	1.38
YLR297W	-1.74	-0.14	-0.20	-0.25	-0.36	1.59	1.09
YLR423C	-1.44	-0.90	0.04	-0.55	0.16	1.59	1.11
YOL083W	-1.30	-0.84	-0.29	-0.54	0.12	1.18	1.68
YOR049C	-1.17	-1.23	-0.02	-0.45	0.06	1.50	1.30
YPL087W	-1.36	-1.19	0.16	0.02	-0.30	1.43	1.25
YBR052C	-1.53	-0.93	-0.06	0.41	-0.27	1.77	0.62
YKL141W	-0.89	-1.11	-0.55	-0.39	0.05	1.05	1.85
YLR038c	-0.72	-0.91	-0.58	-0.96	0.27	1.20	1.70
YLR149C	-0.88	-0.77	-0.83	-0.17	-0.42	1.44	1.64
YER006w	1.18	0.75	1.25	-0.31	-0.31	-1.26	-1.30
YER025w	1.29	0.65	1.11	-0.11	-0.27	-1.42	-1.26
YER036c	1.19	1.26	0.58	-0.06	-0.28	-1.34	-1.33
YDR450W	1.08	0.66	0.69	0.11	0.43	-1.09	-1.88
YDR471W	1.03	0.79	0.78	-0.06	0.40	-1.10	-1.83
YEL026w	0.93	0.60	1.20	0.32	-0.15	-1.33	-1.57
YGL078C	0.89	0.62	1.27	-0.05	-0.05	-0.78	-1.90
YJR071W	1.10	0.81	0.60	0.29	0.20	-1.24	-1.77
